Name,f1,f2,f3,color
./Clips/Abady Al Johar/Ana A7bik/1-01 Untitled.wav,-29.23933,40.443336,-14.960202,red
./Clips/Abady Al Johar/Ana A7bik/1-02 Untitled.wav,-50.512936,29.170221,-31.421822,darkred
./Clips/Abady Al Johar/Ana A7bik/1-03 Untitled.wav,-19.209206,42.119274,-16.355764,skyblue
./Clips/Abady Al Johar/Ana A7bik/1-04 Untitled.wav,-20.119907,10.945617,-8.493215,skyblue
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/01 Al-Layali.wav,-10.810305,27.139328,-86.47312,darkred
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/02 Lan O'atib.wav,-17.622791,14.221518,-103.257774,darkred
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/03 Allah Alaik.wav,-17.555967,5.6660304,-91.4404,darkred
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/04 Hobbek Sema.wav,-12.773314,32.3534,-86.46541,darkred
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/05 Al-Taqaseem.wav,-15.808693,1.5331088,-81.948685,darkred
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/06 Adhat Al-Esba'a.wav,-6.264017,-3.4058287,-83.443405,darkred
./Clips/Abady Al Johar/Ana We Oudi (via 6lal.com)/07 Music.wav,43.55074,-21.153252,31.776205,darkblue
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-01 `Ahd el-ekhewwa.wav,-17.891773,32.84251,88.56528,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-02 Gaddedi ya nafsi hazzek.wav,-12.584607,42.344933,92.04474,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-03 Sallemt-e ruhak.wav,-28.340029,41.059414,81.69965,olive
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-04 Ya nahif el-qawam.wav,-4.113774,48.58037,89.1124,goldenrod
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 1]/1-05 Waghak mushriq.wav,-1.5754972,39.662052,69.20739,olive
