uid_1,uid_2,name1,name2,sound_dist,name_dist,is_psfix,cat,res,to_keep
c5f61897-9343-5274-bdf4-7abce855ba7f,b559d67c-f958-5473-aa44-77054e8563f6,Cassette 44_Side B_Corrected,Cassette 44_Side B,0.34772499615618296,0.0714285714285714,1,above_st--below_nt--psfix,1,0
a6eef117-e5a9-56f3-891b-2751e66d1678,3bcfc48a-cfdd-56ca-81b3-9c69ae47cfbe,1 Audio Track,01 Dastgah Zabul Segah,0.0007509142182593076,0.5868298368298368,0,below_st--below_nt--not_psfix,1,1
9b930051-7032-513f-97f1-66d29269aae3,1ebb1758-47b1-5be8-be18-61dc127ab4f3,4. Bahari Hailindiki_Side A_Corrected,4. Bahari Hailindiki_Side A,0.3757102926261881,0.054054054054054064,1,above_st--below_nt--psfix,1,0
c1ba6ca4-c514-59fe-8188-11cdd0521dab,7be09626-6994-5fe9-8444-13041fb959fc,1. Track 1_Cassette 61_Side A,1. Track 1_Cassette 61_Side A__Corrected,0.6649142182184813,0.05500000000000005,1,above_st--below_nt--psfix,1,1
389a5638-4ff9-506a-b62e-828f137147f2,366afc89-e8c8-5f66-91ed-2c8fc27b2da0,4. Track 4_Ali Mkali 1_Side A,Ali Mkali 1_Side A,0.9844559866157472,0.2745849297573436,1,above_st--below_nt--psfix,-1,2
4d389231-5445-5b5c-9aaf-7eb89dfac76e,0d041ab6-13ea-55ca-907e-84e31ee7d948,17 Audio Track,17 Track 17,0.0025471210975167784,0.2035353535353536,0,below_st--below_nt--not_psfix,1,1
4d389231-5445-5b5c-9aaf-7eb89dfac76e,2e9f7620-bb06-5787-a458-0342f8f94cc4,17 Audio Track,7 Audio Track,3.9701794134064494,0.023809523809523725,1,above_st--below_nt--psfix,-1,2
22905b3f-e68b-5338-b918-6cb67d768366,95dff593-a8ae-5a23-9202-bd26f30c8204,"13-12 Taqsîm, Mesuré",09 Suite,0.14245294595194594,0.4962121212121212,0,below_st--below_nt--not_psfix,-1,2
890b1add-9726-51d4-8f9e-1aa0be5f8657,af15ce38-fd20-5190-8a23-4cccd70498ad,"7 'Ayyaratnî al-shayb:La Blancheur De Mes Cheveux Suivi De Ahibbek Yâ Ghâlî :Je T'aime, Ô Mon Cher","07 'Ayyaratnî al-shayb_La Blancheur De Mes Cheveux Suivi De Ahibbek Yâ Ghâlî _Je T'aime, Ô Mon Cher",0.03380345396550912,0.016087876524769732,0,below_st--below_nt--not_psfix,1,1
c4a41092-749f-5bcd-9e6e-786b7d62cdf9,e04a0132-1c9e-560e-8a9f-cf107b7c955d,05 Wabiruhi Min Al-Ghid,06 Sama'i Nahawand,0.010938990121054364,0.4442431561996779,0,below_st--below_nt--not_psfix,-1,2
3f85b198-4deb-5786-8d53-3ca7a1e9f6d0,029d91a9-6b2c-51be-937f-19d2a94cda4e,Matano 1_Side A,Matano 1_Side A_Corrected,0.6155201370354397,0.07999999999999996,1,above_st--below_nt--psfix,1,1
62e52c8d-efe5-589b-ae05-e64268af677c,b095681e-350b-58d9-8d4f-6fbb9d45bb1a,3. Track 3_Ali Mkali_Side B,Ali Mkali_Side B,2.4037023028950957,0.2816358024691358,1,above_st--below_nt--psfix,-1,2
950f4726-206d-5bcc-88da-2478cdfe06aa,ba100c0d-8336-5899-bf48-c4f158752700,Kidumbaki Asilia Vol. 3_Makame Faki_Side A___Corrected,1. Track 1_Kidumbaki Asilia Vol. 3_Makame Faki_Side A___Corrected,3.9176280679478808,0.1798670465337131,1,above_st--below_nt--psfix,-1,2
9719d5ec-8f5e-5fa2-99fa-1a9682e2b8fa,3b74726b-0062-52dc-af23-6f9ce08b5e33,15 Audio Track,15 خـــذ ماتبي,0.0001504751809945375,0.4761904761904762,0,below_st--below_nt--not_psfix,1,1
f02a9917-32aa-5392-b7c0-eed186f35ff2,b5061a91-48c4-50ba-87eb-d8c42d306329,7. Waambira Jeri_Zein Selected Songs #1_Zein Musical Party_Side B,7. Waambira Jeri_Zein Selected Songs #1_Zein Musical Party_Side B__Corrected,0.3620470013382915,0.028947368421052614,1,above_st--below_nt--psfix,1,1
f02a9917-32aa-5392-b7c0-eed186f35ff2,4c763c5a-22d4-50f3-97d2-ce4ed064358c,7. Waambira Jeri_Zein Selected Songs #1_Zein Musical Party_Side B,Zein Selected Songs #1_Zein Musical Party_Side B,2.668831212085187,0.2364850427350427,1,above_st--below_nt--psfix,-1,2
8b00f14d-77dc-5709-914a-23e9774375a2,7fac4c8a-8891-5336-95ea-31dc26e92058,01 Ya Habibi Dawabni al-Hawa,1 Audio Track,0.0024608789164312144,0.5456043956043957,0,below_st--below_nt--not_psfix,1,0
085eef56-f7b1-5731-b73c-f143fd2d740b,c2cf74a3-3162-5238-a8fd-827e3409b91d,13 Track 13,13 Audio Track,0.0048650238733530405,0.2035353535353536,0,below_st--below_nt--not_psfix,1,0
0d89f907-b473-50dd-89af-ae9db6a47e77,addef2b2-6de8-5548-81e2-ea2cb2c4acd2,11 Alawah,11 Audio Track,0.0022538147005697357,0.3624338624338624,0,below_st--below_nt--not_psfix,1,0
1b38f556-d27e-529b-9d5f-97b1e1fe1a16,7f9fa08c-03e4-5ed4-aed0-de8fe70531d6,T55AdiComp3Voc105bpm.R,T55AdiComp3Voc105bpm.L,0.0,0.018181818181818188,0,below_st--below_nt--not_psfix,1,1
1b38f556-d27e-529b-9d5f-97b1e1fe1a16,ea78197d-c508-5fd6-a5a9-989c303c3401,T55AdiComp3Voc105bpm.R,T55AdiComp3Voc105bpm_stereo,0.0,0.07003367003367,0,below_st--below_nt--not_psfix,1,1
69a8c7af-293d-55a1-bba2-bcee14effef6,069b7050-1de3-5f5b-b1cc-5c700593b003,5. Mwanaadamu Siombe_Zein Vol. No. 13_Zein Musical Party_Side B___Corrected,Zein Vol. No. 13_Zein Musical Party_Side B___Corrected,1.7341957013366287,0.25382716049382725,1,above_st--below_nt--psfix,-1,2
7e0ef3d0-8bf8-51ef-b3ff-eae0a97ac85d,44f502a2-f05b-5cd0-8517-8c398faf8922,3. Kama Chalika Nena Ukale_Noorul Oyoon Zanzibar C-90_Noor Ul Oyoon Musical Club_Side B,3. Kama Chalika Nena Ukale_Noorul Oyoon Zanzibar C-90_Noor Ul Oyoon Musical Club_Side B__Corrected,0.3713232250259832,0.022448979591836785,1,above_st--below_nt--psfix,1,1
61843fb3-5abd-5c21-9a69-f20973ddbfc5,8ee025f4-c2e3-5e69-b828-75c6cf57a952,Enyi Ndege,Chombo,0.22010929653196745,1.0,0,below_st--above_nt--not_psfix,-1,2
fae64521-c7df-592e-b2fc-a4e4eb9061b0,59bd19ca-c45c-57f4-bfe2-17c556e6546f,T78MisraComp1Mri160bpm_stereo,T78MisraComp1Mri160bpm_1.R,0.2568831114905292,0.06445623342175066,0,below_st--below_nt--not_psfix,1,0
f8d1b79d-4749-5e6d-8c41-eede8a907a5d,fdb2c416-8909-5d2b-8fcb-5a2d8d3a7651,4. Tupate Rehema_Side A,4. Tupate Rehema_Side A_Corrected,0.7816620490592872,0.06060606060606055,1,above_st--below_nt--psfix,1,1
7107e5ee-9f2d-58c9-a9bd-24d82d62bea1,ae92b525-6c33-5f80-9fed-6b314246504c,2 Audio Track,02 Al-Mahaba,0.0005138950842041323,0.45299145299145294,0,below_st--below_nt--not_psfix,1,1
0e51c14a-6c6d-54e0-b695-85203f5d4607,93e6d654-38d1-5e60-bc5f-1d8fab1f8c1e,8 Audio Track,08 Track 08,0.003794410166491811,0.34411421911421913,0,below_st--below_nt--not_psfix,1,0
d8197cae-58be-51ce-998e-f9ba4b0f59cd,8249be98-1b66-570a-b134-b9eb6c172cef,Zein Vol. No. 8_Zein Musical Party_Side B,3. Siwate Kunikumbuka_Zein Vol. No. 8_Zein Musical Party_Side B,1.3960511054038922,0.2749387017679701,1,above_st--below_nt--psfix,-1,2
d8197cae-58be-51ce-998e-f9ba4b0f59cd,ceb5244c-1fd6-5c96-9ee3-d4bf8b304859,Zein Vol. No. 8_Zein Musical Party_Side B,1. Kivuli_Zein Vol. No. 8_Zein Musical Party_Side B,1.6806155792319706,0.2157659811892237,1,above_st--below_nt--psfix,-1,2
ce988ee9-d2b4-5c03-bf0d-83e30236d25c,cf3f5de2-7794-52f1-90b6-a45b183d4bc0,1 Audio Track,01 ماعتدهم ذمه,0.000364398444643837,0.5183150183150182,0,below_st--below_nt--not_psfix,1,1
9068c451-9b8b-54f6-9607-77365226edb7,07bd1cf1-ae1b-5eff-b903-e454595a65ee,T94MisraComp2Kan160bpm_stereo,T94MisraComp2Kan160bpm.L,0.0,0.06494252873563222,0,below_st--below_nt--not_psfix,1,0
7d749bf4-e873-5125-8ab7-7693f6294864,d3df86df-0326-5f7a-be5e-3e1735faa8bc,T126AdiComp5Mri70bpm_stereo,T126AdiComp5Mri70bpm.L,0.17065585511576764,0.07003367003367,0,below_st--below_nt--not_psfix,1,0
2cb8faaa-3872-5928-a17b-a72158f47250,225a4b66-38af-5120-b99a-df3282357072,5 Audio Track,05 Sallem Alayha,0.002115407856974515,0.5641025641025641,0,below_st--below_nt--not_psfix,1,1
4a48b6c7-4841-52c1-9b1f-40e7fd0c63a7,75f1234b-092c-5dd5-b393-61d792f012f6,01 Gased,1 Audio Track,0.0011602952164288134,0.4647435897435898,0,below_st--below_nt--not_psfix,1,0
c196a923-9c04-5e10-a635-ee5ebacb8540,c16329b8-0c63-52b1-b0bc-6c7e568ec820,6 El Hal Romancy,02 Marrait,0.23461124020953725,0.5041666666666667,0,below_st--below_nt--not_psfix,-1,2
58fa70b8-d65c-5f60-ad8b-7d5eaccd14ab,a9d5e96f-a658-53e7-a018-23bf930a31bf,NewBhaloNo20_orig_A_Corrected,New Bhalo No20_Side A,0.23666405445331284,0.1547216587784539,0,below_st--below_nt--not_psfix,1,0
be33c251-7105-56c5-a3f8-da5c81203626,403c2fd9-a012-5648-8e5b-8ef3e6d9a65d,3. Track 3_Side_A_Corrected,3. Track 3_Side A,0.0009836076880331763,0.0932461873638344,0,below_st--below_nt--not_psfix,1,0
6748d353-5df8-53ef-93d2-e394ef1a892e,1e43bf66-4f96-57e4-bc80-c9250fcd3d7c,1-17 Gazelle Du Désert - Il Se Leva Et Fit Circules Les Coupes,"13-15 Taqsîm, Qânûn",0.01902474890446512,0.5567580567580568,0,below_st--below_nt--not_psfix,-1,2
0ca4117e-7006-5174-a495-343b935a2f63,93545b93-919c-5782-9ac2-c77dc43fd494,2. Mtakufa Kihoro_Vol. 22 Mwanamke Mazingira_Muungano Cultural Troupe_Side B__Corrected,Vol. 22 Mwanamke Mazingira_Muungano Cultural Troupe_Side B__Corrected,4.039057909304666,0.2235548892220556,1,above_st--below_nt--psfix,-1,2
4452d2ee-51a0-5c7a-a013-bb50ae543e40,527411b7-adc8-5a82-a4b0-a3f4fe278a2b,3. Uzabizabina_Diamond Star_Sitara & Party_Side A___Corrected,3. Uzabizabina_Diamond Star_Sitara & Party_Side A,0.38695153361122,0.03934426229508203,1,above_st--below_nt--psfix,1,0
8886ff42-fc88-543c-9979-00379df3d92f,c56d0e49-dd20-559a-8e6b-71979ffe8fbf,3-07 L'origine De L'amour Est Un Regard,"3-12 Âme, Reprends Confiance En Ton Étoile",0.2662920353187285,0.4335242052633358,0,below_st--below_nt--not_psfix,-1,2
e4e42005-d82a-5e76-96f2-0c859ebff182,704c6254-e8ba-579b-85da-8668131291f8,6. Mnyanganyo_Zein Selected Songs #1_Zein Musical Party_Side B,6. Mnyanganyo_Zein Selected Songs #1_Zein Musical Party_Side B__Corrected,0.3890277269770788,0.03013698630136985,1,above_st--below_nt--psfix,1,1
e4e42005-d82a-5e76-96f2-0c859ebff182,4c763c5a-22d4-50f3-97d2-ce4ed064358c,6. Mnyanganyo_Zein Selected Songs #1_Zein Musical Party_Side B,Zein Selected Songs #1_Zein Musical Party_Side B,1.6917682435996135,0.23846326164874554,1,above_st--below_nt--psfix,-1,2
